departamento,codigodanedepartamento,municipio,codigodanemunicipio,anio,mes,tipodesminado,areadespejada,map,muse,aei,totalartefactosdestruidos,organizacion,estudiosnotecnicos,estudiostecnicos,operacionesdespeje
ANTIOQUIA,5,NARINO,5483,2014,7,Comunidades,0,0,0,0,0,THE HALO TRUST,2,0,0
SANTANDER,68,EL CARMEN,68235,2013,9,Comunidades,4213,0,0,0,0,BRDEH,0,2,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2013,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CALDAS,17,ANSERMA,17042,2019,3,Comunidades,0,0,0,0,0,BRDEH,16,0,0
SANTANDER,68,EL CARMEN,68235,2015,9,Comunidades,1622,3,0,0,3,BRDEH,1,0,1
SANTANDER,68,SAN VICENTE DE CHUCURI,68689,2012,11,Comunidades,980,4,0,0,4,BRDEH,1,1,1
ANTIOQUIA,5,GRANADA,5313,2016,11,Comunidades,6243,4,0,0,4,BRDEH,2,0,2
ANTIOQUIA,5,SAN FRANCISCO,5652,2012,11,Comunidades,15298,0,0,0,0,BRDEH,6,5,0
TOLIMA,73,ICONONZO,73352,2008,1,Bases Militares,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,SUAITA,68770,2018,10,Comunidades,0,0,0,0,0,BRDEH,2,0,0
ANTIOQUIA,5,MONTEBELLO,5467,2019,3,Comunidades,0,0,0,0,0,BRDEH,3,0,0
CAQUETA,18,PUERTO RICO,18592,2019,2,Comunidades,0,0,0,0,0,BRDEH,1,0,0
TOLIMA,73,CHAPARRAL,73168,2019,7,Comunidades,0,0,0,0,0,THE HALO TRUST,2,0,0
ANTIOQUIA,5,SAN FRANCISCO,5652,2011,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
META,50,LEJANIAS,50400,2017,11,Comunidades,0,0,0,0,0,THE HALO TRUST,2,0,0
TOLIMA,73,PLANADAS,73555,2017,6,Comunidades,0,6,0,0,6,BRDEH,1,0,0
SANTANDER,68,EL CARMEN,68235,2012,7,Comunidades,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,SAN VICENTE DE CHUCURI,68689,2012,11,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,SONSON,5756,2016,3,Comunidades,0,0,0,0,0,THE HALO TRUST,1,0,0
SANTANDER,68,EL CARMEN,68235,2011,5,Comunidades,2307,2,0,0,2,BRDEH,1,1,1
SANTANDER,68,SABANA DE TORRES,68655,2014,10,Comunidades,0,0,0,0,0,BRDEH,1,0,0
TOLIMA,73,PLANADAS,73555,2018,8,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
SANTANDER,68,LEBRIJA,68406,2018,11,Comunidades,0,0,2,0,2,BRDEH,1,0,0
HUILA,41,ALGECIRAS,41020,2018,12,Comunidades,360,0,0,0,0,CAMPANA COLOMBIANA CONTRA MINAS,0,0,2
CAUCA,19,CORINTO,19212,2017,6,Comunidades,0,0,0,0,0,HANDICAP INTERNATIONAL,0,0,0
BOLIVAR,13,ZAMBRANO,13894,2010,9,Comunidades,0,0,0,0,0,BRDEH,0,0,0
CAUCA,19,BALBOA,19075,2018,11,Comunidades,0,0,1,0,1,CAMPANA COLOMBIANA CONTRA MINAS,7,0,0
ANTIOQUIA,5,GRANADA,5313,2013,6,Comunidades,13331,14,0,0,14,BRDEH,4,3,4
CALDAS,17,AGUADAS,17013,2019,7,Comunidades,0,0,0,0,0,BRDEH,1,0,0
META,50,VISTAHERMOSA,50711,2009,11,Comunidades,0,0,0,0,0,BRDEH,1,0,0
ANTIOQUIA,5,GRANADA,5313,2016,7,Comunidades,3283,1,0,0,1,BRDEH,1,1,0
CAQUETA,18,FLORENCIA,18001,2019,5,Comunidades,0,0,0,0,0,BRDEH,0,0,0
VALLE DEL CAUCA,76,ROLDANILLO,76622,2007,6,Bases Militares,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,CONCEPCION,5206,2017,9,Comunidades,5793,0,0,0,0,BRDEH,0,1,0
LA GUAJIRA,44,DIBULLA,44090,2017,8,Comunidades,0,0,0,0,0,BRDEH,1,0,0
ANTIOQUIA,5,GRANADA,5313,2014,6,Comunidades,17639,11,0,0,11,BRDEH,11,3,2
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,2013,11,Comunidades,40122,0,0,0,0,BRDEH,0,3,0
CESAR,20,PUEBLO BELLO,20570,2007,9,Bases Militares,0,0,0,0,0,BRDEH,0,0,0
SANTANDER,68,SABANA DE TORRES,68655,2016,6,Comunidades,0,0,0,0,0,BRDEH,0,0,0
ANTIOQUIA,5,ARGELIA,5055,2018,9,Comunidades,0,0,0,0,0,THE HALO TRUST,0,0,0
CAQUETA,18,BELEN DE LOS ANDAQUIES,18094,2019,4,Comunidades,1954,5,0,0,5,BRDEH,0,0,1
TOLIMA,73,IBAGUE,73001,2019,5,Comunidades,0,0,0,0,0,BRDEH,7,0,0
